,author,keywords,pmc,pmid,prob,pubdate,title
10,D Devineni; N Vaccaro; J Murphy; C Curtin; RN Mamidi; S Weiner; SS Wang; J Ariyawansa; H Stieltjes; E Wajs; NA Di Prospero; P Rothenberg,,,25407255,0.9964714050292969,2015,"Effects of rifampin, cyclosporine A, and probenecid on the pharmacokinetic profile of canagliflozin, a sodium glucose co-transporter 2 inhibitor, in healthy participants."
11,E Hoeben; W De Winter; M Neyens; D Devineni; A Vermeulen; A Dunne,,,26293616,0.9964646100997925,2016,Population Pharmacokinetic Modeling of Canagliflozin in Healthy Volunteers and Patients with Type 2 Diabetes Mellitus.
12,H Zhang; J Liu; X Zhu; X Li; H Chen; M Wu; C Li; Y Ding,Chinese; Clinical trial; Pharmacodynamics; Pharmacokinetics; SGLT2 inhibitor,,32265061,0.9946435689926147,2020,"A Phase I Study on the Pharmacokinetics and Pharmacodynamics of DJT1116PG, a Novel Selective Inhibitor of Sodium-glucose Cotransporter Type 2, in Healthy Individuals at Steady State."
13,D Devineni; CR Curtin; D Polidori; MJ Gutierrez; J Murphy; S Rusch; PL Rothenberg,,,23670707,0.9939874410629272,2013,"Pharmacokinetics and pharmacodynamics of canagliflozin, a sodium glucose co-transporter 2 inhibitor, in subjects with type 2 diabetes mellitus."
14,WV Tamborlane; D Polidori; D Argenti; NA Di Prospero,SGLT2 inhibitor; pediatrics; pharmacodynamics; pharmacokinetics; type 2 diabetes,,29271103,0.9929913282394409,2018,Pharmacokinetics and pharmacodynamics of canagliflozin in pediatric patients with type 2 diabetes.
15,D Singh; AP Singh; D Singh; AK Kesavan; S Arora; AK Tiwary; N Bedi,,,32034683,0.9927183389663696,2020,Enhanced oral bioavailability and anti-diabetic activity of canagliflozin through a spray dried lipid based oral delivery: a novel paradigm.
16,D Devineni; P Manitpisitkul; J Murphy; H Stieltjes; J Ariyawansa; NA Di Prospero; P Rothenberg,bioavailability; canagliflozin; dose proportionality; food effect; pharmacokinetics,,27136908,0.992155909538269,2015,"Effect of food on the pharmacokinetics of canagliflozin, a sodium glucose co-transporter 2 inhibitor, and assessment of dose proportionality in healthy participants."
17,D Devineni; P Manitpisitkul; N Vaccaro; A Bernard; D Skee; RN Mamidi; H Tian; S Weiner; H Stieltjes; S Sha; P Rothenberg,,,25345427,0.9906865954399109,2015,"Effect of canagliflozin, a sodium glucose co-transporter 2 inhibitor, on the pharmacokinetics of oral contraceptives, warfarin, and digoxin in healthy participants."
18,S Kinoshita; K Kondo,DPP-4 inhibitor; SGLT2 inhibitor; canagliflozin; drug-drug interaction; teneligliptin,,25424014,0.9896312355995178,2015,Evaluation of pharmacokinetic and pharmacodynamic interactions of canagliflozin and teneligliptin in Japanese healthy male volunteers.
19,D Singh; AK Tiwary; N Bedi,Solubility; bioavailability; canagliflozin; lymphatic uptake; microemulsion; solid carriers.,,30295193,0.9893993139266968,2018,Role of Porous Carriers in the Biopharmaceutical Performance of Solid SMEDDS of Canagliflozin.
20,H Zhang; X Zhu; X Li; H Chen; M Wu; C Li; J Liu; C Liu; Y Zhang; Y Ding,Chinese; SGLT2 inhibitor; clinical trial; pharmacodynamics; pharmacokinetics; type 2 diabetes,,31588657,0.9892029166221619,2020,"Pharmacokinetics and pharmacodynamics of rongliflozin, a novel selective inhibitor of sodium-glucose co-transporter-2, in people with type 2 diabetes mellitus."
21,J Murphy; SS Wang; H Stieltjes; E Wajs; D Devineni,,,25546166,0.9867086410522461,2015,"Effect of food on the pharmacokinetics of canagliflozin/metformin (150/1,000 mg) immediate-release fixed-dose combination tablet in healthy participants."
22,D Devineni; D Polidori; CR Curtin; J Murphy; SS Wang; H Stieltjes; E Wajs,,,25907176,0.9858638644218445,2015,"Pharmacokinetics and pharmacodynamics of once- and twice-daily multiple-doses of canagliflozin, a selective inhibitor of sodium glucose co-transporter 2, in healthy participants."
23,T Wattamwar; A Mungantiwar; S Gujar; N Pandita,Anti-diabetic agent; Canagliflozin; Human plasma; LC-MS/MS; Metformin; Pharmacokinetics,,32763846,0.9824220538139343,2020,Development of LC-MS/MS method for simultaneous determination of Canagliflozin and Metformin in human plasma and its pharmacokinetic application in Indian population under fast and fed conditions.
24,D Devineni; D Polidori; C Curtin; H Stieltjes; H Tian; E Wajs,India; canagliflozin; pharmacodynamics; pharmacokinetics; safety,,26687552,0.9816463589668274,2016,"Single-dose Pharmacokinetics and Pharmacodynamics of Canagliflozin, a Selective Inhibitor of Sodium Glucose Cotransporter 2, in Healthy Indian Participants."
25,S Kobuchi; K Yano; Y Ito; T Sakaeda,,,26989857,0.9796516299247742,2016,"A validated LC-MS/MS method for the determination of canagliflozin, a sodium-glucose co-transporter 2 (SGLT-2) inhibitor, in a lower volume of rat plasma: application to pharmacokinetic studies in rats."
26,S Francke; RN Mamidi; B Solanki; E Scheers; A Jadwin; R Favis; D Devineni,canagliflozin; diabetes; pharmacogenomics; pharmacokinetics; uridine diphosphate glucuronosyltransferases,,25827774,0.9778733253479004,2015,"In vitro metabolism of canagliflozin in human liver, kidney, intestine microsomes, and recombinant uridine diphosphate glucuronosyltransferases (UGT) and the effect of genetic variability of UGT enzymes on the pharmacokinetics of canagliflozin in humans."
27,P Alam; M Iqbal; AI Foudah; MH Alqarni; F Shakeel,HPTLC; canagliflozin; pharmacokinetic study; validation,,32579725,0.9698643684387207,2020,Quantitative determination of canagliflozin in human plasma samples using a validated HPTLC method and its application to a pharmacokinetic study in rats.
28,D Devineni; D Polidori,,,26041408,0.9635202884674072,2015,"Clinical Pharmacokinetic, Pharmacodynamic, and Drug-Drug Interaction Profile of Canagliflozin, a Sodium-Glucose Co-transporter 2 Inhibitor."
29,D Singh; AK Tiwary; TS Kang; N Bedi,Bioavailability; Canagliflozin; SMEDDS; Solubility; Supersaturation; Thermodynamics,,33596805,0.9605661630630493,2021,Polymeric Precipitation Inhibitor Based Supersaturable Self-microemulsifying Drug Delivery System of Canagliflozin: Optimization and Evaluation.
30,ST Dong; HM Niu; Y Wu; JL Jiang; Y Li; KY Jiang; X Wang; MF Zhang; MF Han; SN Meng,UPLC-MS/MS; canagliflozin; diabetes; metabolites,,29783787,0.9532796144485474,2018,Plasma Pharmacokinetic Determination of Canagliflozin and Its Metabolites in a Type 2 Diabetic Rat Model by UPLC-MS/MS.
31,D Mohamed; MS Elshahed; T Nasr; N Aboutaleb; O Zakaria,Canagliflozin; HPLC–MS/MS; Human plasma; Metformin; Pharmacokinetic study,,31384829,0.9527189135551453,2019,Novel LC-MS/MS method for analysis of metformin and canagliflozin in human plasma: application to a pharmacokinetic study.
32,MS Elgawish; S Nasser; I Salama; AM Abbas; SM Mostafa,Drug-drug interaction; LC/MS-MS; Metformin; Molecular modeling; Organic cationic transporter; Pioglitazone,,31177048,0.9418455958366394,2019,Liquid chromatography tandem mass spectrometry for the simultaneous determination of metformin and pioglitazone in rat plasma: Application to pharmacokinetic and drug-drug interaction studies.
33,X Zhou; LR Rougée; DW Bedwell; JW Cramer; MA Mohutsky; NA Calvert; RD Moulton; KC Cassidy; NP Yumibe; LA Adams; KJ Ruterbories,,,27217490,0.930649995803833,2016,Difference in the Pharmacokinetics and Hepatic Metabolism of Antidiabetic Drugs in Zucker Diabetic Fatty and Sprague-Dawley Rats.
34,M Iqbal; E Ezzeldin; KA Al-Rashood; YA Asiri; NL Rezk,Adduct ions; Canagliflozin; Pharmacokinetics; Rat plasma; UHPLC–MS/MS,,25476275,0.91630619764328,2015,Rapid determination of canagliflozin in rat plasma by UHPLC-MS/MS using negative ionization mode to avoid adduct-ions formation.
35,BCL Dias; MM Fachi; ML de Campos; FLD Degaut; RG Peccinini; R Pontarolo,human plasma; metformin; pharmacokinetics; quantification; sodium-glucose cotransporter-2 inhibitor,,31339572,0.8888158202171326,2019,A new HPLC-MS/MS method for the simultaneous quantification of SGLT2 inhibitors and metformin in plasma and its application to a pharmacokinetic study in healthy volunteers.
36,XN Wang; Y Li; L Meng; CY Ding; ZJ Dong,Telmisartan; canagliflozin; drug-drug interaction; pharmacokinetics; tissue distribution,,33752434,0.8790635466575623,2021,Evaluation of influence of telmisartan on the pharmacokinetics and tissue distribution of canagliflozin in rats and mice.
37,D Devineni; L Morrow; M Hompesch; D Skee; A Vandebosch; J Murphy; K Ways; S Schwartz,,,22226086,0.856884241104126,2012,Canagliflozin improves glycaemic control over 28 days in subjects with type 2 diabetes not optimally controlled on insulin.
38,L Song; X Yao; Y Liu; W Zhong; J Jiang; H Liu; H Zhou; C Shi; K Zong; C Wang; C Ma; D Liu; P Hu,First-in-human; Janagliflozin; Pharmacokinetics/pharmacodynamics; Translational prediction,,32126254,0.8466684222221375,2020,"Translational prediction of first-in-human pharmacokinetics and pharmacodynamics of janagliflozin, a selective SGLT2 inhibitor, using allometric scaling, dedrick and PK/PD modeling methods."
39,JO Miners; A Pattanawongsa; A Rowland,UDP-glucuronosyltransferase; canagliflozin; drug-drug interaction; enzyme inhibition,,29098700,0.8163465261459351,2018,Response to in vitro and physiologically-based pharmacokinetic assessment of the drug-drug interaction potential of canagliflozin.
40,AJ Scheen,,,25805666,0.8145125508308411,2015,"Pharmacokinetics, Pharmacodynamics and Clinical Use of SGLT2 Inhibitors in Patients with Type 2 Diabetes Mellitus and Chronic Kidney Disease."
41,A Tahara; T Takasu; M Yokono; M Imamura; E Kurosaki,Diabetes; Hyperglycemia; Hyperinsulinemia; SGLT2 inhibitor; Urinary glucose excretion,,26970780,0.802272379398346,2016,"Characterization and comparison of sodium-glucose cotransporter 2 inhibitors in pharmacokinetics, pharmacodynamics, and pharmacologic effects."
42,RN Mamidi; F Cuyckens; J Chen; E Scheers; D Kalamaridis; R Lin; J Silva; S Sha; DC Evans; MF Kelley; D Devineni; MD Johnson; HK Lim,,,24568888,0.7212541103363037,2014,"Metabolism and excretion of canagliflozin in mice, rats, dogs, and humans."
43,AB van der Aart-van der Beek; AMA Wessels; HJL Heerspink; DJ Touw,Canagliflozin; Dapagliflozin; Empagliflozin; LC-MS/MS; SGLT2i,,32663790,0.6873849630355835,2020,"Simple, fast and robust LC-MS/MS method for the simultaneous quantification of canagliflozin, dapagliflozin and empagliflozin in human plasma and urine."
44,PA Shah; PS Shrivastav; V Sharma; MS Yadav,Canagliflozin; Dapagliflozin; Empagliflozin; Ion-pair solid-phase extraction; Liquid chromatography-tandem mass spectrometry; Metformin,,31362250,0.6801259517669678,2019,Challenges in simultaneous extraction and chromatographic separation of metformin and three SGLT-2 inhibitors in human plasma using LC-MS/MS.
45,D Polidori; S Sha; S Mudaliar; TP Ciaraldi; A Ghosh; N Vaccaro; K Farrell; P Rothenberg; RR Henry,,,23412078,0.6595773696899414,2013,"Canagliflozin lowers postprandial glucose and insulin by delaying intestinal glucose absorption in addition to increasing urinary glucose excretion: results of a randomized, placebo-controlled study."
46,K Mori; R Saito; Y Nakamaru; M Shimizu; H Yamazaki,PBPK/PD modeling; SGLT1; SGLT2; proximal tubule; small intestine,,27604638,0.6412938237190247,2016,Physiologically based pharmacokinetic-pharmacodynamic modeling to predict concentrations and actions of sodium-dependent glucose transporter 2 inhibitor canagliflozin in human intestines and renal tubules.
47,AJ Scheen,,,24387329,0.5813494324684143,2014,Evaluating SGLT2 inhibitors for type 2 diabetes: pharmacokinetic and toxicological considerations.
48,S Sha; D Devineni; A Ghosh; D Polidori; M Hompesch; S Arnolds; L Morrow; H Spitzer; K Demarest; P Rothenberg,,,25268802,0.5667771697044373,2014,"Pharmacodynamic effects of canagliflozin, a sodium glucose co-transporter 2 inhibitor, from a randomized study in patients with type 2 diabetes."
49,RNVS Mamidi; S Dallas; C Sensenhauser; HK Lim; E Scheers; P Verboven; F Cuyckens; L Leclercq; DC Evans; MF Kelley; MD Johnson; J Snoeys,canagliflozin; drug metabolizing enzymes; drug-drug interactions; physiologically-based pharmacokinetics; transporters,,27862160,0.5412758588790894,2017,In vitro and physiologically-based pharmacokinetic based assessment of drug-drug interaction potential of canagliflozin.
50,X Zhou; KC Cassidy; L Hudson; MA Mohutsky; GA Sawada; J Hao,P‐glycoprotein; enterohepatic circulation; glucuronidation; microbiome hydrolysis,,31333846,0.5087860226631165,2019,Enterohepatic circulation of glucuronide metabolites of drugs in dog.
